Code,Name,Type,Province,District,Seat,Area,Population,PopulationDensity,ElectricityAccess_Percentage,ElectricityAccess_Households,EnergyCharge_Industry,EnergyCharge_Commercial,Total_MWh,Manufacturing_Customers,Manufacturing_MWh,Commercial_Customers,Commercial_MWh,AveragePV_YieldStellenbosch
FS163,Mohokare,Local,Free State,Xhariep,Zastron,8776,34146,3.9,89.7,9688,110,110,40468,6,858,50,13009,1897
FS164,Naledi (FS),Local,Free State,Xhariep,Dewetsdorp,3424,24314,7.1,93.8,7215,110,110,12701,7,1712,34,1836,1886
FS181,Masilonyana,Local,Free State,Lejweleputswa,Theunissen,6796,63334,9.3,93.2,16393,67.39,126,,,,,,1879
FS182,Tokologo,Local,Free State,Lejweleputswa,Boshof,9326,28986,3.1,84.2,7332,48,95,,29,,146,,1897
FS183,Tswelopele,Local,Free State,Lejweleputswa,Bultfontein,6524,47625,7.3,91.9,11032,44.12,85.14,9130,,,141,4037,1878
FS184,Matjhabeng,Local,Free State,Lejweleputswa,Welkom,5155,406461,78.8,91.1,112244,62.15,117,435996,195,108743,3450,82540,1868
FS185,Nala,Local,Free State,Lejweleputswa,Bothaville,4129,81220,19.7,90.3,19626,86,86,58058,36,6541,465,5691,1851
FS191,Setsoto,Local,Free State,Thabo Mofutsanyana,Ficksburg,5966,112597,18.9,88.6,29860,46,81.05,,,,,,1875
FS192,Dihlabeng,Local,Free State,Thabo Mofutsanyana,Bethlehem,4880,128704,26.4,84.8,32728,109,110.72,129692,77,60492,1414,27239,1838
FS193,Nketoana,Local,Free State,Thabo Mofutsanyana,Reitz,5611,60324,10.8,84.7,14669,60,110,5,,,65,5,1847
FS194,Maluti-a-Phofung,Local,Free State,Thabo Mofutsanyana,Phuthaditjhaba,4338,335784,77.4,89,89286,66.06,119,427176,395,130168,1196,64129,1845
FS195,Phumelela,Local,Free State,Thabo Mofutsanyana,Vrede,8183,47772,5.8,74.9,9668,54,113.5,,,,,,1807
FS196,Mantsopa,Local,Free State,Thabo Mofutsanyana,Ladybrand,4291,51056,11.9,91,13808,51,51,27663,,,361,16423,1874
FS201,Moqhaka,Local,Free State,Fezile Dabi,Kroonstad,7925,160532,20.3,93.3,42623,46.12,114.95,188821,,,89,89141,1830
FS203,Ngwathe,Local,Free State,Fezile Dabi,Parys,7055,120520,17.1,92,34149,70,106,116284,124,12667,1000,21746,1837
FS204,Metsimaholo,Local,Free State,Fezile Dabi,Sasolburg,1717,149108,86.8,86.4,39557,55.96,111.11,167199,512,21590,,,1824
FS205,Mafube,Local,Free State,Fezile Dabi,Frankfort,3971,57876,14.6,84.4,13909,96.5,132,,,,12,,1841
GT421,Emfuleni,Local,Gauteng,Sedibeng,Vanderbijlpark,966,721663,747.1,92.2,202928,58.07,124.85,1888195,580,1403818,5770,53408,1853
GT422,Midvaal,Local,Gauteng,Sedibeng,Meyerton,1722,95301,55.3,79.3,23785,77,119,150721,0,0,906,87262,1819
GT423,Lesedi,Local,Gauteng,Sedibeng,Heidelberg,1484,99520,67.1,89.9,26686,60.95,110.4,164318,75,81430,491,10457,1821
GT481,Mogale City,Local,Gauteng,West Rand,Krugersdorp,1342,362422,270.1,85.9,100822,66.93,104,608764,0,0,11034,343050,1827
GT482,Randfontein,Local,Gauteng,West Rand,Randfontein,475,149286,314.3,84.5,36605,53,107,295656,0,0,0,0,1835
GT483,Westonaria,Local,Gauteng,West Rand,Westonaria,640,111767,174.6,64.3,25771,65.68,127.65,84200,39,22000,321,4300,1836
