Code,Name,Type,Province,District,Seat,Area,Population,PopulationDensity,ElectricityAccess_Percentage,ElectricityAccess_Households,EnergyCharge_Industry,EnergyCharge_Commercial,Total_MWh,Manufacturing_Customers,Manufacturing_MWh,Commercial_Customers,Commercial_MWh,AveragePV_YieldStellenbosch
NC065,Hantam,Local,Northern Cape,Namakwa,Calvinia,36128,21578,0.6,76.9,4891,72.17,114.94,11500,,,,,2001
NC066,Karoo Hoogland,Local,Northern Cape,Namakwa,Williston,32274,12588,0.4,64.9,2502,93,108,9141,,,67,475,1981
NC067,Khâi-Ma,Local,Northern Cape,Namakwa,Pofadder,16628,12465,0.7,89.6,3404,,111,3586,,,51,1601,1953
NC071,Ubuntu,Local,Northern Cape,Pixley ka Seme,Victoria West,20389,18601,0.9,84.8,4355,56.18,96.08,13341,,,135,2582,1942
NC072,Umsobomvu,Local,Northern Cape,Pixley ka Seme,Colesberg,6819,28376,4.2,86.7,6803,60,130,14964,,,238,8189,1923
NC073,Emthanjeni,Local,Northern Cape,Pixley ka Seme,De Aar,13472,42356,3.1,92.6,9690,69.66,126.57,53367,46,12760,377,6530,1948
NC074,Kareeberg,Local,Northern Cape,Pixley ka Seme,Carnarvon,17702,11673,0.7,73.6,2376,124,124,128044,42,14402,760,37653,1971
NC075,Renosterberg,Local,Northern Cape,Pixley ka Seme,Petrusville,5527,10978,2,88.1,2645,154,154,,,,,,1922
NC076,Thembelihle,Local,Northern Cape,Pixley ka Seme,Hopetown,8023,15701,2,75.2,3113,,118,,,,,,1907
NC077,Siyathemba,Local,Northern Cape,Pixley ka Seme,Prieska,14725,21591,1.5,86.2,5033,33.65,90.63,,,,,,1966
NC078,Siyancuma,Local,Northern Cape,Pixley ka Seme,Douglas,16753,37076,2.2,82.2,7885,59,127,,,,,,1971
NC081,Mier,Local,Northern Cape,Siyanda,Mier,22468,7003,0.3,74.3,1325,,,,,,,,1968
NC082,Kai !Garib,Local,Northern Cape,Siyanda,Kakamas,26358,65869,2.5,87.4,14614,62.41,109.35,,,,,,1982
NC083,Khara Hais,Local,Northern Cape,Siyanda,Upington,21780,93494,4.3,91.1,21191,48.8,101.4,133648,42,14905,810,40467,1948
NC084,!Kheis,Local,Northern Cape,Siyanda,Groblershoop,11107,16637,1.5,64,2658,,,,,,,,1958
NC085,Tsantsabane,Local,Northern Cape,Siyanda,Postmasburg,18333,35093,1.9,83.5,8220,123.34,116.58,11550,49,5700,75,3300,1949
NC086,Kgatelopele,Local,Northern Cape,Siyanda,Daniëlskuil,2478,18687,7.5,91.7,4932,81.23,125.41,11531,10,1677,58,1677,1948
NC091,Sol Plaatjie,Local,Northern Cape,Frances Baard,Kimberley,3145,248041,78.9,84.9,51198,73.12,137.8,399954,314,123610,5636,55813,1902
NC092,Dikgatlong,Local,Northern Cape,Frances Baard,Barkly West,7315,46841,6.4,75.9,9104,133,133,,,,,,1920
NC093,Magareng,Local,Northern Cape,Frances Baard,Warrenton,1542,24204,15.7,85,5200,67,122.9,10443,,,141,3254,1896
NC094,Phokwane,Local,Northern Cape,Frances Baard,Hartswater,834,63000,75.5,82.3,14444,81.55,117.42,,,,,,1909
NC451,Joe Morolong,Local,Northern Cape,John Taolo Gaetsewe,Mothibistad,20172,89530,4.4,81.8,19396,,,,,,,,1915
NC452,Ga-Segonyana,Local,Northern Cape,John Taolo Gaetsewe,Kuruman,4492,93652,20.8,91.2,24470,48.8,92,,,,,,1948
NC453,Gamagara,Local,Northern Cape,John Taolo Gaetsewe,Kathu,2619,41617,15.9,87.9,9498,81,110,17538,20,350,121,8570,1952
NMA,Nelson Mandela Bay,Metropolitan,Eastern Cape,,Port Elizabeth,1959,1152115,588.1,90.5,293442,63.45,147.26,3067998,308,1546192,10326,463811,1582
NW371,Moretele,Local,North West,Bojanala Platinum,Makapanstad,1379,186947,135.6,92.2,48034,,,,,,,,1807
NW372,Madibeng,Local,North West,Bojanala Platinum,Brits,3839,477381,124.4,81,130238,45.46,65.9,348257,1910,172830,146,47219,1813
NW373,Rustenburg,Local,North West,Bojanala Platinum,Rustenburg,3423,549575,160.6,83,165230,52.66,111.03,2235626,,,3569,1985950,1820
NW374,Kgetlengrivier,Local,North West,Bojanala Platinum,Koster,3973,51049,12.8,78,11466,82,132.13,,,,,,1823
NW375,Moses Kotane,Local,North West,Bojanala Platinum,Mogwase,5719,242554,42.4,89.9,67651,,,,,,,,1802
NW381,Ratlou,Local,North West,Ngaka Modiri Molema,Setlagole,4884,107339,22,83.7,22514,,,,,,,,1881
NW382,Tswaing,Local,North West,Ngaka Modiri Molema,Delareyville,5966,124218,20.8,73.7,22603,62.6,110,,,,,,1906
NW383,Mafikeng,Local,North West,Ngaka Modiri Molema,Mafikeng,3698,291527,78.8,84.5,71280,,,,,,,,1896
NW384,Ditsobotla,Local,North West,Ngaka Modiri Molema,Lichtenburg,6465,168902,26.1,74,32964,70.22,127.6,105206,139,47092,613,11598,1834
NW385,Ramotshere Moiloa,Local,North West,Ngaka Modiri Molema,Zeerust,7193,150713,21,81.9,33416,63.63,127,,,,,,1815
NW392,Naledi (NW),Local,North West,Dr Ruth Segomotsi Mompati,Vryburg,6941,66781,9.6,76.7,14265,79,113,67203,,,591,23029,1890
NW393,Mamusa,Local,North West,Dr Ruth Segomotsi Mompati,Schweizer-Reneke,3615,60355,16.7,80.8,11816,58.84,118.8,,,,,,1909
NW394,Greater Taung,Local,North West,Dr Ruth Segomotsi Mompati,Taung,5635,177642,31.5,88.5,43101,54.56,82,3617,,,,,1938
NW396,Lekwa-Teemane,Local,North West,Dr Ruth Segomotsi Mompati,Christiana,3681,53248,14.5,86.1,12876,,118.27,,,,,,1903
NW397,Kagisano-Molopo,Local,North West,Dr Ruth Segomotsi Mompati,Ganyesa,23827,105789,4.4,73.8,21096,,,,,,,,1910
